"parameter","mean","SE","lower bound","upper bound","Rhat"
"Intercept Self Kindness",13.729622575,0.161662722084584,13.4121975,14.0464175,1.00446894343743
"Intercept Self Judgment",14.947975,0.1722677225195,14.60916,15.2891525,1.00001498807811
"Intercept Common Humanity",11.59373865,0.123213383934833,11.3549,11.8321,1.00132706734655
"Intercept Isolation",13.49887765,0.155565753562273,13.1905775,13.7976,1.0020469789299
"Intercept Mindfulness",13.2612497,0.114148660697771,13.0342975,13.4833375,1.00082584132878
"Intercept Overidentification",14.35411105,0.147735887112721,14.069265,14.6392125,1.00147517352872
"$\beta$ Self Kindness",0.30620281067625,0.289532660550102,-0.26930095,0.86595095,1.00136545656085
"$\beta$ Self Judgment",-1.22475758565,0.311739207968402,-1.8211675,-0.62180135,1.00125993872174
"$\beta$ Common Humanity",0.352913518850175,0.224808034889683,-0.0781422349999999,0.791002275,1.00035367716993
"$\beta$ Isolation",-2.589695315,0.288943845127752,-3.15057025,-2.02175425,1.00139436822895
"$\beta$ Mindfulness",-0.6190836512,0.209036799026835,-1.028518,-0.2100751,1.00079636682396
"$\beta$ Overidentification",-3.260088565,0.273879235519331,-3.787662,-2.7473475,1.00132989929137
"$\sigma$ Self Kindness",4.4643273775,0.0941307589937778,4.28645675,4.65807125,1.00145266270768
"$\sigma$ Self Judgment",4.744535995,0.10270891067499,4.5488745,4.946911,1.0007882620197
"$\sigma$ Common Humanity",3.4018948625,0.0733439045825619,3.26269525,3.5500825,1.00218925611065
"$\sigma$ Isolation",4.3427015175,0.0904807195242368,4.16618575,4.52039375,1.00206811974796
"$\sigma$ Mindfulness",3.1799231875,0.0712469027706008,3.0446595,3.32205575,1.00024261296443
"$\sigma$ Overidentification",3.9294808025,0.0848290887500009,3.76477125,4.100813,0.999824743006603
