"parameter","mean","SE","lower bound","upper bound","Rhat"
"Intercept Family",24.0076137,0.00797861622646574,24.0001,24.0286025,1.00266778449793
"Intercept Friends",24.0071949,0.00708427347881779,24.0001,24.0262025,1.00189795274423
"Intercept Significant Other",24.005696175,0.00576269989214144,24.0001,24.0206,1.00317163282834
"$\beta$ Family",0.00828617105591,0.0176286185573861,-0.0207474675,0.051742285,1.01166133924003
"$\beta$ Friends",0.010619679064275,0.0197462198429271,-0.0175862,0.0653915375,1.01300045841608
"$\beta$ Significant Other",0.0088039468155025,0.0149776443957728,-0.0124443825,0.047474545,1.00877117897107
"$\sigma$ Family",0.0109260717475,0.00784401904419864,0.0015052005,0.0303242425,1.01020731137989
"$\sigma$ Friends",0.01063585667525,0.0072495008166142,0.000749810575000001,0.0293318225,1.06389465953293
"$\sigma$ Significant Other",0.00904883368,0.00621130707885111,0.00120809375,0.025184325,1.06336349065053
"$q$ Family",0.99801770275,0.00141977242360392,0.994553225,0.999727025,1.01010093660974
"$q$ Friends",0.9981128065,0.00128342982398183,0.99483855,0.999866,1.06447091646102
"$q$ Significant Other",0.9979427115,0.00141569846358704,0.994224875,0.99972415,1.06343648807464
