3	4	3	3	4	4	2	2	4	1	2	4	3	2	2	5	2	2	4	4	3	1	1	3	4	1	12	15	10	1	26	9	19	8	28	34	24	24	24	15	16	11	11	12
1	1	5	1	4	2	5	3	5	3	4	3	1	5	5	1	5	1	3	1	2	3	3	1	1	3	6	13	18	0	15	9	14	4	40	41	24	24	24	6	2	15	12	16
4	4	3	4	3	4	2	4	3	2	4	2	4	3	3	4	3	4	2	4	2	2	2	2	4	2	12	8	14	0	18	15	19	13	29	32	18	18	18	11	16	7	10	11
4	3	5	2	1	1	3	2	4	3	4	3	1	4	5	2	3	2	1	2	2	4	5	1	1	4	15	22	20	6	30	7	15	4	36	37	24	22	24	10	10	14	11	16
5	5	4	3	2	4	3	4	2	3	4	2	4	2	4	3	3	4	2	3	4	2	2	4	4	2	11	9	11	0	25	11	19	2	37	34	23	15	22	11	14	6	6	6
5	3	3	3	2	4	3	3	2	3	4	3	2	4	3	5	2	3	3	2	4	2	2	2	4	2	7	7	7	0	14	1	7	0	40	32	19	22	20	11	12	13	12	9
5	5	5	5	3	5	4	5	4	1	2	2	5	4	5	5	4	5	1	5	2	4	3	5	5	5	13	11	11	0	24	19	19	2	40	32	22	23	22	18	24	5	8	10
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	15	16	0	19	0	8	0	35	38	24	21	24	8	6	14	14	14
5	5	1	5	1	5	1	5	1	1	5	1	5	1	1	3	1	5	1	5	5	1	2	5	5	2	0	0	0	0	0	5	18	3	32	25	13	24	24	16	23	7	3	8
5	2	4	3	2	4	2	4	3	3	3	2	3	3	4	3	3	4	3	3	3	3	3	3	3	3	12	15	14	0	9	11	18	12	31	35	12	15	16	12	14	6	8	13
3	4	4	3	3	3	2	2	4	2	2	3	1	3	1	2	3	4	3	2	2	2	3	2	4	3	1	6	11	0	18	14	11	6	35	35	24	16	24	8	14	10	11	13
2	1	2	1	2	2	1	1	5	1	1	2	3	5	3	1	3	3	3	3	2	3	5	1	1	4	3	0	3	0	4	4	3	2	37	36	8	16	20	4	4	14	12	16
3	4	5	5	4	3	5	5	5	4	4	3	3	4	4	3	4	4	4	2	5	2	4	2	2	4	2	17	20	0	17	14	14	1	40	46	19	17	16	9	14	8	9	10
1	2	3	2	1	1	3	1	2	2	1	2	3	2	1	1	3	2	2	2	2	3	2	1	3	3	10	11	13	4	16	2	5	2	36	36	19	13	24	11	5	13	16	16
3	1	2	1	2	1	2	2	2	3	2	5	2	3	3	1	3	1	3	1	2	3	3	1	1	3	7	8	11	0	11	2	6	0	32	39	22	20	21	7	1	13	14	16
5	5	5	5	3	3	2	5	4	4	1	2	5	4	5	1	3	5	3	3	4	3	4	3	3	3	10	18	17	4	29	23	32	24	34	35	8	8	24	7	10	14	11	15
4	3	5	2	5	2	3	1	5	3	1	3	1	5	5	1	5	1	5	2	2	5	5	1	1	5	0	8	18	0	17	6	12	0	42	34	14	20	21	3	3	13	12	9
5	5	3	4	3	5	2	4	2	2	4	3	4	3	2	4	3	3	3	2	3	1	2	3	5	2	4	3	4	0	0	12	4	0	34	31	24	4	24	13	16	7	7	10
2	1	4	1	3	1	1	3	4	3	5	2	2	4	1	2	5	1	2	1	2	1	4	1	1	4	6	0	5	0	5	12	8	2	33	42	8	24	24	2	2	11	12	15
4	3	3	4	4	3	4	4	3	4	4	4	4	4	4	5	3	4	3	4	3	3	4	3	4	4	10	14	14	7	24	16	15	7	39	42	23	18	21	10	7	14	15	15
5	5	3	5	1	5	2	4	2	2	4	2	4	3	2	5	2	5	2	2	3	2	1	4	4	2	8	9	14	0	16	6	13	3	36	29	16	14	18	12	21	8	11	8
4	3	3	3	1	3	2	4	3	2	2	2	3	4	2	2	3	3	2	1	4	1	2	1	3	2	4	9	8	0	9	3	4	0	29	34	22	23	24	6	4	13	12	14
4	4	4	2	3	4	4	3	3	3	2	4	3	4	3	3	3	3	3	4	3	3	3	3	4	3	11	6	10	4	17	1	1	0	34	30	21	14	16	12	17	8	11	10
2	1	1	1	1	2	4	3	4	4	1	4	1	3	4	1	4	1	4	1	2	4	4	1	1	4	3	0	3	0	3	5	5	0	37	34	24	24	24	2	4	11	15	11
3	1	5	1	2	1	1	1	5	1	1	3	1	5	5	1	5	1	1	1	1	4	5	1	1	5	14	19	20	3	35	4	4	0	45	39	24	24	24	1	0	11	12	11
1	1	2	2	5	2	1	1	1	1	2	2	5	5	3	3	4	3	3	2	1	1	2	5	2	3	12	22	17	7	29	5	11	10	32	29	9	15	24	12	5	9	13	11
4	4	4	3	2	4	4	4	4	4	3	2	2	4	3	4	4	4	1	3	3	3	4	4	4	2	7	6	8	0	18	6	5	2	35	34	20	12	20	8	16	10	9	10
5	4	3	5	2	5	3	3	3	2	4	2	4	3	2	4	2	4	3	2	2	2	2	2	4	2	8	9	17	1	19	11	22	5	40	34	22	17	23	14	10	12	13	9
5	1	4	4	4	3	4	4	2	4	1	2	3	1	3	1	2	4	1	4	3	4	3	3	5	2	13	14	7	7	26	9	25	11	30	34	23	18	24	12	15	12	15	7
