    -0.351     0.713     0.456    -1.979     0.809     0.086    -0.975    -0.418     1.603     0.484     0.000     0.000     0.054     0.004     0.062     0.001     0.012     0.867     0.000     0.000     8.000
    -0.463    -0.015     2.009    -0.083     0.962     1.484    -1.252     0.145    -0.992    -3.098     0.000     0.000     0.260     0.001     0.350     0.000     0.075     0.315     0.000     0.000     5.000
    -0.576     0.130     1.233     0.262     0.350     0.242    -1.114     0.426    -1.187     1.185     0.000     0.000     0.362     0.001     0.064     0.000     0.001     0.573     0.000     0.000     8.000
     1.226    -0.889     0.145    -0.945     0.043    -1.362    -0.698     0.848     1.797    -0.139     0.000     0.039     0.000     0.528     0.000     0.380     0.007     0.027     0.000     0.019     4.000
    -0.914     0.713     1.233     0.607     1.727     0.759    -0.144     1.411     0.500     1.263     0.000     0.000     0.990     0.001     0.000     0.000     0.000     0.008     0.000     0.000     3.000
    -1.477     0.567     2.630     1.986     1.268    -0.690    -0.005    -0.559    -0.927     1.263     0.000     0.000     0.642     0.000     0.353     0.000     0.000     0.005     0.000     0.000     3.000
    -0.463     0.130    -0.165    -0.255    -1.181     0.759    -0.005     0.989     0.046    -0.918     0.000     0.000     0.008     0.020     0.001     0.000     0.005     0.962     0.004     0.000     8.000
     1.339    -2.491    -0.165    -0.773    -1.028    -0.638     0.410    -1.825     2.511    -2.943     0.061     0.000     0.000     0.000     0.000     0.938     0.000     0.000     0.000     0.000     6.000
     1.451    -1.035    -0.165     0.089    -1.487    -2.242    -0.559    -0.418     0.111     1.263     0.000     0.638     0.000     0.001     0.000     0.005     0.315     0.040     0.000     0.000     2.000
     0.100    -1.180     0.456    -1.462     0.503    -0.276    -0.698    -2.106    -0.927    -2.553     0.116     0.000     0.000     0.000     0.000     0.000     0.883     0.000     0.000     0.000     7.000
     0.663     0.276    -1.408    -0.945    -1.181     1.328    -0.421     1.692     2.186     0.017     0.000     0.001     0.000     0.988     0.000     0.000     0.000     0.007     0.000     0.004     4.000
    -0.914     1.295    -0.165    -1.807     1.421     1.380    -1.252     0.145     0.175     0.873     0.000     0.000     0.814     0.000     0.096     0.000     0.000     0.090     0.000     0.000     3.000
    -0.125     1.295     1.543    -1.462     0.503     0.863    -0.975     1.411     2.835     1.185     0.000     0.000     0.055     0.913     0.000     0.000     0.000     0.032     0.000     0.000     4.000
    -1.815     1.877    -0.165     0.089     1.574    -0.017    -0.837     0.426     0.305     1.263     0.000     0.000     0.932     0.000     0.066     0.000     0.000     0.002     0.000     0.000     3.000
     2.690    -1.180    -2.495    -2.841    -1.334     0.190     2.765     0.285     1.797    -1.463     0.000     0.889     0.000     0.000     0.000     0.008     0.000     0.000     0.000     0.103     2.000
    -0.801     1.441     0.456     0.951    -0.110    -0.017    -0.144     0.707    -0.214     0.562     0.000     0.000     0.726     0.001     0.014     0.000     0.000     0.260     0.000     0.000     3.000
    -1.252     1.149    -1.408     1.641     1.574     1.794    -1.114    -0.981    -0.603     0.562     0.000     0.000     0.332     0.000     0.666     0.000     0.000     0.003     0.000     0.000     5.000
     0.100     0.130     0.301    -0.945    -0.416    -0.949    -0.144    -1.684     1.992     0.951     0.000     0.000     0.000     0.000     0.007     0.130     0.515     0.347     0.000     0.000     7.000
    -0.013     0.421     0.922    -1.634    -0.110     0.656    -0.559     0.004     1.213    -0.373     0.000     0.000     0.011     0.033     0.003     0.002     0.016     0.934     0.002     0.000     8.000
    -0.351    -0.889    -0.787    -1.634    -0.722     0.190    -0.975    -0.559     1.084    -1.541     0.002     0.000     0.000     0.000     0.001     0.041     0.864     0.093     0.000     0.000     7.000
     1.113    -0.889    -0.787    -0.083     0.196     0.242    -0.698    -0.277    -0.149     0.484     0.000     0.023     0.000     0.046     0.000     0.001     0.256     0.672     0.000     0.000     8.000
     0.438    -0.161    -1.563    -0.255     1.115     1.587     2.488     1.692     1.862     0.640     0.000     0.000     0.000     0.012     0.000     0.000     0.000     0.000     0.986     0.002     9.000
     0.100     0.130    -0.010    -1.117    -1.487    -0.224     1.241     0.285     0.565    -0.451     0.000     0.140     0.000     0.008     0.000     0.004     0.041     0.687     0.120     0.000     8.000
     1.226    -0.598     1.854     1.296     0.196     0.397    -0.421     1.833     1.473     0.017     0.000     0.000     0.000     0.997     0.000     0.000     0.000     0.000     0.000     0.003     4.000
    -0.125    -0.015    -1.252    -0.773     0.350    -1.207    -1.391    -2.106    -1.187     0.562     0.000     0.000     0.000     0.000     0.167     0.000     0.818     0.014     0.000     0.000     7.000
    -0.463    -0.015     2.630    -0.428    -0.569     0.604    -0.282     0.567     0.305     0.562     0.000     0.000     0.134     0.022     0.002     0.000     0.001     0.841     0.000     0.000     8.000
     0.438    -0.161     1.077    -0.600    -0.569     0.966     1.518     0.707     1.473    -1.307     0.000     0.090     0.000     0.295     0.000     0.043     0.001     0.129     0.423     0.018     9.000
    -0.238     0.713     0.301     1.124    -0.416     1.121    -0.975     0.004     0.175     0.250     0.000     0.000     0.248     0.006     0.020     0.000     0.001     0.725     0.000     0.000     8.000
    -0.576     1.004    -0.165     0.262     1.574     0.811    -0.005     0.426    -0.603     1.107     0.000     0.000     0.893     0.000     0.017     0.000     0.000     0.089     0.001     0.000     3.000
    -0.125    -0.307    -0.321     0.434    -0.263    -0.638    -0.559    -0.559    -0.798    -0.762     0.000     0.000     0.000     0.000     0.024     0.000     0.700     0.275     0.000     0.000     7.000
    -0.914     1.004    -0.321     1.641     0.350    -1.207    -0.144    -0.277    -0.538    -0.217     0.000     0.000     0.101     0.000     0.648     0.000     0.010     0.242     0.000     0.000     5.000
     1.001     0.276     1.543     1.124    -1.793     0.293    -0.837     1.552    -0.214     0.328     0.000     0.003     0.000     0.919     0.000     0.000     0.000     0.078     0.000     0.000     4.000
