     1.364     0.122    -0.012     1.329     0.954    -0.138     0.016     2.542     1.132     1.260     0.000     0.000     0.000     0.021     0.979     5.000
    -1.255     1.452     0.612     0.621     1.108     1.331     0.160    -0.148     0.553     1.260     0.000     0.000     0.995     0.005     0.000     3.000
     0.908    -0.765    -1.569    -0.087    -0.741    -0.627    -0.129     0.843     1.840    -0.148     0.074     0.003     0.000     0.083     0.840     5.000
     0.111     1.156    -0.012    -1.857     0.029     0.352     1.603     0.135     0.489     1.103     0.000     0.001     0.039     0.939     0.022     4.000
     0.681    -2.242    -0.946    -0.087    -1.666     0.450     1.314     0.843     0.875     0.321     0.947     0.000     0.000     0.039     0.014     1.000
     0.453     0.122     0.612     0.444    -0.741     0.450     0.737     0.560    -0.669     0.399     0.000     0.002     0.017     0.980     0.001     4.000
     2.616    -1.503     0.923     0.267    -0.587     0.645     0.449     2.259     1.390     0.869     0.003     0.000     0.000     0.001     0.996     5.000
    -0.572     1.304    -1.258    -0.087     0.646     0.645     0.016    -0.148    -0.669     1.025     0.000     0.001     0.823     0.176     0.000     3.000
     2.275    -2.242    -1.102    -1.503    -2.744    -1.410     0.304    -0.856     0.489     0.399     1.000     0.000     0.000     0.000     0.000     1.000
     0.795    -0.912    -0.946    -1.326    -0.279    -0.236     0.160    -0.431     1.454    -1.008     0.670     0.155     0.000     0.085     0.091     1.000
     0.339     0.122    -0.790    -1.149     0.184     0.352     0.016     0.277     0.810     0.634     0.000     0.006     0.014     0.900     0.080     4.000
    -1.255     1.304     1.235     0.444    -0.741     0.450     0.160    -0.573    -0.605    -0.930     0.000     0.009     0.911     0.081     0.000     3.000
     0.453    -0.912     0.767    -1.857     0.492     1.820     0.304    -0.431     0.682    -0.305     0.020     0.034     0.017     0.813     0.116     4.000
    -0.344     1.747     0.144    -0.087     1.108     0.841     0.304     0.418    -0.605     0.008     0.000     0.000     0.924     0.076     0.000     3.000
    -1.255     1.452     1.235     0.975     1.570     0.156    -0.994    -0.998    -0.669     0.556     0.000     0.000     0.999     0.001     0.000     3.000
    -0.230     1.008     1.390     0.621     1.262    -0.138     0.016    -0.856     3.899    -1.243     0.000     0.000     0.002     0.000     0.998     5.000
