     1.339     0.130    -0.010     1.296     0.962    -0.121    -0.005     2.536     1.148     1.263     0.001     0.000     0.998     0.001     3.000
    -1.252     1.441     0.611     0.607     1.115     1.277     0.133    -0.137     0.565     1.263     0.001     0.000     0.000     0.999     4.000
     0.888    -0.743    -1.563    -0.083    -0.722    -0.586    -0.144     0.848     1.862    -0.139     0.099     0.044     0.857     0.000     3.000
     0.100     1.149    -0.010    -1.807     0.043     0.190     1.518     0.145     0.500     1.107     0.546     0.000     0.218     0.236     1.000
     0.663    -2.200    -0.942    -0.083    -1.640     0.397     1.241     0.848     0.889     0.328     0.059     0.823     0.118     0.000     2.000
     0.438     0.130     0.611     0.434    -0.722     0.500     0.687     0.567    -0.668     0.406     0.838     0.000     0.048     0.113     1.000
     2.578    -1.472     0.922     0.262    -0.569     0.656     0.410     2.255     1.408     0.873     0.000     0.000     1.000     0.000     3.000
    -0.576     1.295    -1.252    -0.083     0.656     0.811    -0.005    -0.137    -0.668     1.029     0.066     0.000     0.000     0.934     4.000
     2.240    -2.200    -1.097    -1.462    -2.711    -1.414     0.272    -0.840     0.500     0.406     0.000     1.000     0.000     0.000     2.000
     0.776    -0.889    -0.942    -1.290    -0.263    -0.224     0.133    -0.418     1.473    -0.996     0.287     0.591     0.122     0.000     2.000
     0.325     0.130    -0.787    -1.117     0.196     0.397    -0.005     0.285     0.824     0.640     0.624     0.001     0.325     0.050     1.000
    -1.252     1.295     1.233     0.434    -0.722     0.397     0.133    -0.559    -0.603    -0.918     0.120     0.000     0.000     0.880     4.000
     0.438    -0.889     0.767    -1.807     0.503     1.794     0.272    -0.418     0.694    -0.295     0.577     0.018     0.379     0.027     1.000
    -0.351     1.732     0.145    -0.083     1.115     0.914     0.272     0.426    -0.603     0.017     0.015     0.000     0.000     0.985     4.000
    -1.252     1.441     1.233     0.951     1.574     0.086    -0.975    -0.981    -0.668     0.562     0.002     0.000     0.000     0.998     4.000
    -0.238     1.004     1.388     0.607     1.268    -0.121    -0.005    -0.840     3.938    -1.229     0.009     0.000     0.944     0.048     3.000
    -1.477     0.130     2.320    -0.255    -0.110     0.966    -0.975     0.426    -0.019    -0.061     0.042     0.000     0.000     0.958     4.000
     1.113    -1.326    -0.321    -0.945     0.043    -0.172    -0.005     0.848    -0.149    -0.295     0.612     0.238     0.149     0.000     1.000
    -1.702     0.713     0.456     0.434     1.268     0.914    -1.252    -0.418     0.240     0.017     0.005     0.000     0.000     0.995     4.000
    -0.238     1.586     0.767    -0.255     0.043     1.484     2.349     2.255     1.278     0.484     0.002     0.000     0.939     0.059     3.000
     1.564    -0.889     0.767    -0.428    -0.722    -0.379     1.380     1.833     0.240    -0.606     0.039     0.088     0.873     0.000     3.000
    -1.026     0.858     0.922     0.089     0.196    -0.793    -1.252    -0.840    -0.733     1.029     0.127     0.000     0.000     0.873     4.000
     1.113    -0.598    -0.787    -0.083    -1.334    -0.276     1.518     0.848    -1.057    -0.373     0.715     0.262     0.023     0.000     1.000
    -1.477     0.567    -0.631     0.434    -0.110     0.242    -0.421    -0.840    -0.538     1.263     0.125     0.000     0.000     0.875     4.000
    -2.040     0.130    -0.631     1.124     1.115     1.535    -1.114    -1.262    -0.668     1.263     0.004     0.000     0.000     0.996     4.000
    -0.238    -0.015    -1.563    -0.083    -0.416    -0.328     0.964     0.567     0.500    -0.606     0.936     0.004     0.046     0.014     1.000
     0.550    -0.598    -0.321    -0.773    -1.028     0.086    -0.698     0.285    -0.343    -0.295     0.953     0.034     0.010     0.002     1.000
     0.550     0.130    -0.321     0.951     0.196     0.811     0.133     0.989     1.278     0.484     0.044     0.000     0.932     0.024     3.000
     0.888     0.130    -0.010     1.124     0.656     0.035    -0.144     2.396     1.732     0.718     0.001     0.000     0.998     0.001     3.000
     1.226    -1.326    -0.631    -1.290    -3.629    -0.897     1.934     0.285     2.251     0.095     0.000     0.996     0.004     0.000     2.000
    -0.576    -0.307    -0.942    -0.255    -0.722     0.138    -0.282     0.145    -0.733     1.263     0.912     0.000     0.001     0.087     1.000
    -0.351     0.713     0.456    -1.979     0.809     0.086    -0.975    -0.418     1.603     0.484     0.405     0.000     0.098     0.497     4.000
    -0.463    -0.015     2.009    -0.083     0.962     1.484    -1.252     0.145    -0.992    -3.098     0.242     0.000     0.000     0.758     4.000
    -0.576     0.130     1.233     0.262     0.350     0.242    -1.114     0.426    -1.187     1.185     0.113     0.000     0.000     0.887     4.000
     1.226    -0.889     0.145    -0.945     0.043    -1.362    -0.698     0.848     1.797    -0.139     0.067     0.047     0.886     0.000     3.000
    -0.914     0.713     1.233     0.607     1.727     0.759    -0.144     1.411     0.500     1.263     0.002     0.000     0.002     0.996     4.000
    -1.477     0.567     2.630     1.986     1.268    -0.690    -0.005    -0.559    -0.927     1.263     0.002     0.000     0.000     0.998     4.000
    -0.463     0.130    -0.165    -0.255    -1.181     0.759    -0.005     0.989     0.046    -0.918     0.885     0.001     0.035     0.079     1.000
     1.339    -2.491    -0.165    -0.773    -1.028    -0.638     0.410    -1.825     2.511    -2.943     0.000     1.000     0.000     0.000     2.000
     1.451    -1.035    -0.165     0.089    -1.487    -2.242    -0.559    -0.418     0.111     1.263     0.525     0.469     0.006     0.000     1.000
     0.100    -1.180     0.456    -1.462     0.503    -0.276    -0.698    -2.106    -0.927    -2.553     0.788     0.211     0.000     0.001     1.000
     0.663     0.276    -1.408    -0.945    -1.181     1.328    -0.421     1.692     2.186     0.017     0.003     0.000     0.996     0.000     3.000
    -0.914     1.295    -0.165    -1.807     1.421     1.380    -1.252     0.145     0.175     0.873     0.009     0.000     0.000     0.990     4.000
    -0.125     1.295     1.543    -1.462     0.503     0.863    -0.975     1.411     2.835     1.185     0.001     0.000     0.969     0.030     3.000
    -1.815     1.877    -0.165     0.089     1.574    -0.017    -0.837     0.426     0.305     1.263     0.001     0.000     0.000     0.999     4.000
     2.690    -1.180    -2.495    -2.841    -1.334     0.190     2.765     0.285     1.797    -1.463     0.000     0.997     0.003     0.000     2.000
    -0.801     1.441     0.456     0.951    -0.110    -0.017    -0.144     0.707    -0.214     0.562     0.037     0.000     0.001     0.962     4.000
    -1.252     1.149    -1.408     1.641     1.574     1.794    -1.114    -0.981    -0.603     0.562     0.002     0.000     0.000     0.998     4.000
     0.100     0.130     0.301    -0.945    -0.416    -0.949    -0.144    -1.684     1.992     0.951     0.921     0.006     0.058     0.015     1.000
    -0.013     0.421     0.922    -1.634    -0.110     0.656    -0.559     0.004     1.213    -0.373     0.570     0.001     0.297     0.133     1.000
    -0.351    -0.889    -0.787    -1.634    -0.722     0.190    -0.975    -0.559     1.084    -1.541     0.828     0.164     0.006     0.001     1.000
     1.113    -0.889    -0.787    -0.083     0.196     0.242    -0.698    -0.277    -0.149     0.484     0.944     0.015     0.036     0.005     1.000
     0.438    -0.161    -1.563    -0.255     1.115     1.587     2.488     1.692     1.862     0.640     0.001     0.000     0.999     0.000     3.000
     0.100     0.130    -0.010    -1.117    -1.487    -0.224     1.241     0.285     0.565    -0.451     0.859     0.047     0.091     0.003     1.000
     1.226    -0.598     1.854     1.296     0.196     0.397    -0.421     1.833     1.473     0.017     0.002     0.000     0.998     0.000     3.000
    -0.125    -0.015    -1.252    -0.773     0.350    -1.207    -1.391    -2.106    -1.187     0.562     0.983     0.000     0.000     0.017     1.000
    -0.463    -0.015     2.630    -0.428    -0.569     0.604    -0.282     0.567     0.305     0.562     0.342     0.000     0.056     0.602     4.000
     0.438    -0.161     1.077    -0.600    -0.569     0.966     1.518     0.707     1.473    -1.307     0.036     0.004     0.959     0.001     3.000
    -0.238     0.713     0.301     1.124    -0.416     1.121    -0.975     0.004     0.175     0.250     0.175     0.000     0.006     0.819     4.000
