31	34	30	40	42	78	35	48	36	14	8	9	15	12	15	72	64
8	43	34	36	43	93	36	29	27	16	18	18	11	4	5	72	52
27	28	20	32	31	73	34	36	47	11	10	11	18	16	14	54	52
20	41	30	22	36	83	46	31	26	14	16	15	14	6	7	70	93
25	18	24	32	25	84	44	36	32	10	14	9	20	15	16	60	56
23	34	34	35	31	84	40	34	8	12	12	10	21	12	11	61	35
42	23	36	34	32	86	38	46	40	14	15	16	19	20	20	67	59
14	42	22	32	40	86	35	29	8	5	4	4	7	4	4	69	61
39	18	23	24	18	65	37	24	26	7	4	4	23	20	20	61	0
26	27	24	25	34	77	36	27	41	13	13	12	18	13	12	43	50
22	34	25	26	37	83	35	32	31	15	9	12	11	12	11	64	36
8	42	38	35	31	84	36	26	9	16	7	16	7	8	7	44	10
23	27	35	22	39	98	37	27	29	19	18	15	20	14	11	52	56
16	45	31	32	43	88	37	33	9	10	9	10	6	10	6	56	54
8	43	38	38	46	81	28	23	8	16	10	11	10	5	4	63	37
17	40	39	36	44	78	35	24	79	15	16	14	16	18	14	40	78
6	34	45	31	35	89	28	33	18	23	16	20	9	5	8	55	43
29	24	28	27	36	77	35	36	16	13	9	9	20	16	15	52	11
4	38	33	35	44	89	26	27	22	15	9	14	14	5	4	56	16
17	44	35	31	36	96	52	46	38	19	15	13	20	16	13	62	69
33	27	35	30	31	76	45	43	22	8	9	9	21	18	16	48	47
10	39	36	33	37	72	26	24	7	9	9	11	16	12	8	69	30
29	29	25	32	27	76	46	36	2	16	14	13	15	12	15	51	48
6	37	26	35	35	81	32	24	10	17	13	15	9	4	5	72	9
1	34	26	39	43	96	27	21	8	16	12	19	7	4	4	72	91
17	33	20	32	33	75	42	34	26	15	7	11	8	12	10	48	87
24	29	28	28	29	80	30	32	13	11	15	15	18	13	15	52	39
24	34	28	38	37	87	36	37	38	11	10	10	18	17	13	62	54
27	34	30	39	40	80	34	47	45	12	15	9	14	16	11	65	67
30	24	26	25	12	70	49	32	53	10	15	11	18	15	14	57	58
14	31	24	31	31	81	33	31	7	10	6	12	15	11	7	72	20
16	38	33	21	41	80	28	27	43	15	12	16	8	4	5	62	61
15	33	43	32	42	93	26	31	3	13	7	20	17	8	7	16	38
14	34	38	34	38	82	27	33	0	19	15	16	9	4	6	71	71
30	27	31	27	36	65	30	36	46	10	10	8	17	12	16	54	42
