     1.339     0.130    -0.010     1.296     0.962    -0.121    -0.005     2.536     1.148     1.263     0.000     0.000     0.000     0.000     0.000     0.000     0.002     0.998     0.000     8.000
    -1.252     1.441     0.611     0.607     1.115     1.277     0.133    -0.137     0.565     1.263     0.000     0.011     0.000     0.000     0.006     0.000     0.000     0.000     0.983     9.000
     0.888    -0.743    -1.563    -0.083    -0.722    -0.586    -0.144     0.848     1.862    -0.139     0.000     0.000     0.014     0.557     0.093     0.001     0.003     0.333     0.000     4.000
     0.100     1.149    -0.010    -1.807     0.043     0.190     1.518     0.145     0.500     1.107     0.000     0.000     0.000     0.000     0.215     0.781     0.000     0.001     0.003     6.000
     0.663    -2.200    -0.942    -0.083    -1.640     0.397     1.241     0.848     0.889     0.328     0.000     0.000     0.000     0.996     0.001     0.000     0.000     0.002     0.000     4.000
     0.438     0.130     0.611     0.434    -0.722     0.500     0.687     0.567    -0.668     0.406     0.000     0.000     0.003     0.006     0.916     0.011     0.000     0.059     0.005     5.000
     2.578    -1.472     0.922     0.262    -0.569     0.656     0.410     2.255     1.408     0.873     0.000     0.000     0.000     0.003     0.000     0.000     0.952     0.045     0.000     7.000
    -0.576     1.295    -1.252    -0.083     0.656     0.811    -0.005    -0.137    -0.668     1.029     0.000     0.105     0.000     0.000     0.460     0.004     0.000     0.000     0.431     5.000
     2.240    -2.200    -1.097    -1.462    -2.711    -1.414     0.272    -0.840     0.500     0.406     0.059     0.000     0.000     0.941     0.000     0.000     0.000     0.000     0.000     4.000
     0.776    -0.889    -0.942    -1.290    -0.263    -0.224     0.133    -0.418     1.473    -0.996     0.014     0.000     0.630     0.287     0.066     0.001     0.000     0.002     0.000     3.000
     0.325     0.130    -0.787    -1.117     0.196     0.397    -0.005     0.285     0.824     0.640     0.000     0.000     0.008     0.001     0.923     0.024     0.000     0.041     0.002     5.000
    -1.252     1.295     1.233     0.434    -0.722     0.397     0.133    -0.559    -0.603    -0.918     0.000     0.513     0.003     0.000     0.198     0.000     0.000     0.000     0.286     2.000
     0.438    -0.889     0.767    -1.807     0.503     1.794     0.272    -0.418     0.694    -0.295     0.000     0.000     0.090     0.015     0.797     0.071     0.000     0.024     0.002     5.000
    -0.351     1.732     0.145    -0.083     1.115     0.914     0.272     0.426    -0.603     0.017     0.000     0.009     0.000     0.000     0.137     0.005     0.000     0.000     0.848     9.000
