     1.339     0.130    -0.010     1.296     0.962    -0.121    -0.005     2.536     1.148     1.263     0.000     0.000     0.000     0.019     0.000     0.000     0.981     7.000
    -1.252     1.441     0.611     0.607     1.115     1.277     0.133    -0.137     0.565     1.263     0.000     0.000     0.000     0.000     0.001     0.998     0.001     6.000
     0.888    -0.743    -1.563    -0.083    -0.722    -0.586    -0.144     0.848     1.862    -0.139     0.006     0.002     0.272     0.019     0.042     0.000     0.658     7.000
     0.100     1.149    -0.010    -1.807     0.043     0.190     1.518     0.145     0.500     1.107     0.000     0.943     0.000     0.000     0.013     0.006     0.037     2.000
     0.663    -2.200    -0.942    -0.083    -1.640     0.397     1.241     0.848     0.889     0.328     0.000     0.001     0.993     0.000     0.000     0.000     0.005     3.000
     0.438     0.130     0.611     0.434    -0.722     0.500     0.687     0.567    -0.668     0.406     0.000     0.033     0.020     0.000     0.134     0.028     0.785     7.000
     2.578    -1.472     0.922     0.262    -0.569     0.656     0.410     2.255     1.408     0.873     0.000     0.000     0.006     0.987     0.000     0.000     0.007     4.000
    -0.576     1.295    -1.252    -0.083     0.656     0.811    -0.005    -0.137    -0.668     1.029     0.000     0.012     0.000     0.000     0.064     0.911     0.013     6.000
     2.240    -2.200    -1.097    -1.462    -2.711    -1.414     0.272    -0.840     0.500     0.406     0.054     0.000     0.946     0.000     0.000     0.000     0.000     3.000
     0.776    -0.889    -0.942    -1.290    -0.263    -0.224     0.133    -0.418     1.473    -0.996     0.697     0.004     0.103     0.001     0.166     0.000     0.030     1.000
     0.325     0.130    -0.787    -1.117     0.196     0.397    -0.005     0.285     0.824     0.640     0.000     0.080     0.002     0.000     0.213     0.017     0.688     7.000
    -1.252     1.295     1.233     0.434    -0.722     0.397     0.133    -0.559    -0.603    -0.918     0.000     0.000     0.000     0.000     0.203     0.794     0.002     6.000
     0.438    -0.889     0.767    -1.807     0.503     1.794     0.272    -0.418     0.694    -0.295     0.010     0.202     0.012     0.001     0.329     0.017     0.429     7.000
    -0.351     1.732     0.145    -0.083     1.115     0.914     0.272     0.426    -0.603     0.017     0.000     0.012     0.000     0.000     0.012     0.956     0.020     6.000
    -1.252     1.441     1.233     0.951     1.574     0.086    -0.975    -0.981    -0.668     0.562     0.000     0.000     0.000     0.000     0.003     0.997     0.000     6.000
    -0.238     1.004     1.388     0.607     1.268    -0.121    -0.005    -0.840     3.938    -1.229     0.000     0.004     0.000     0.001     0.152     0.454     0.389     6.000
    -1.477     0.130     2.320    -0.255    -0.110     0.966    -0.975     0.426    -0.019    -0.061     0.000     0.000     0.000     0.000     0.031     0.954     0.014     6.000
     1.113    -1.326    -0.321    -0.945     0.043    -0.172    -0.005     0.848    -0.149    -0.295     0.031     0.006     0.341     0.002     0.150     0.000     0.469     7.000
    -1.702     0.713     0.456     0.434     1.268     0.914    -1.252    -0.418     0.240     0.017     0.000     0.000     0.000     0.000     0.006     0.994     0.000     6.000
    -0.238     1.586     0.767    -0.255     0.043     1.484     2.349     2.255     1.278     0.484     0.000     0.928     0.000     0.001     0.000     0.002     0.070     2.000
     1.564    -0.889     0.767    -0.428    -0.722    -0.379     1.380     1.833     0.240    -0.606     0.000     0.002     0.797     0.133     0.000     0.000     0.067     3.000
    -1.026     0.858     0.922     0.089     0.196    -0.793    -1.252    -0.840    -0.733     1.029     0.000     0.000     0.000     0.000     0.287     0.712     0.001     6.000
     1.113    -0.598    -0.787    -0.083    -1.334    -0.276     1.518     0.848    -1.057    -0.373     0.001     0.010     0.970     0.000     0.006     0.000     0.013     3.000
    -1.477     0.567    -0.631     0.434    -0.110     0.242    -0.421    -0.840    -0.538     1.263     0.000     0.000     0.000     0.000     0.168     0.831     0.001     6.000
    -2.040     0.130    -0.631     1.124     1.115     1.535    -1.114    -1.262    -0.668     1.263     0.000     0.000     0.000     0.000     0.004     0.996     0.000     6.000
    -0.238    -0.015    -1.563    -0.083    -0.416    -0.328     0.964     0.567     0.500    -0.606     0.001     0.343     0.021     0.000     0.438     0.006     0.191     5.000
     0.550    -0.598    -0.321    -0.773    -1.028     0.086    -0.698     0.285    -0.343    -0.295     0.015     0.001     0.043     0.000     0.697     0.001     0.243     5.000
     0.550     0.130    -0.321     0.951     0.196     0.811     0.133     0.989     1.278     0.484     0.000     0.006     0.000     0.000     0.004     0.006     0.984     7.000
     0.888     0.130    -0.010     1.124     0.656     0.035    -0.144     2.396     1.732     0.718     0.000     0.000     0.000     0.014     0.000     0.000     0.986     7.000
